date,trades,gross_pnl,net_pnl,winners,losers,cum_pnl
2025-09-16,4,221.56,215.86,3,1,215.86
2025-09-17,12,659.06,642.05,7,5,857.91
2025-09-18,12,-69.46,-86.49,5,7,771.42
2025-09-19,19,227.6,200.59,10,9,972.01
2025-09-22,9,574.46,561.67,4,5,1533.68
2025-09-23,15,255.04,233.7,7,8,1767.38
2025-09-24,17,51.62,27.51,5,12,1794.89
2025-09-25,19,335.86,308.93,11,8,2103.82
2025-09-26,19,390.78,363.79,9,10,2467.61
2025-09-29,15,132.62,111.33,6,9,2578.94
2025-09-30,15,267.34,246.08,9,6,2825.02
2025-10-01,6,917.54,909.02,4,2,3734.04
2025-10-02,24,188.52,154.41,11,13,3888.45
2025-10-03,9,122.74,109.95,4,5,3998.4
2025-10-05,1,100.82,99.4,1,0,4097.8
2025-10-06,23,211.64,178.97,10,13,4276.77
2025-10-07,12,464.72,447.69,8,4,4724.46
2025-10-08,17,414.6,390.46,8,9,5114.92
2025-10-09,16,371.76,349.07,9,7,5463.99
2025-10-10,17,466.8,442.66,7,10,5906.65
2025-10-12,1,327.88,326.47,1,0,6233.12
2025-10-13,24,244.68,210.57,14,10,6443.69
2025-10-14,16,261.76,239.04,5,11,6682.73
2025-10-15,15,44.26,22.91,8,7,6705.64
2025-10-16,20,368.28,339.89,11,9,7045.53
2025-10-17,19,297.12,270.18,9,10,7315.71
2025-10-19,2,41.64,38.79,2,0,7354.5
2025-10-20,13,635.56,617.13,7,6,7971.63
2025-10-21,14,345.7,325.79,9,5,8297.42
2025-10-22,19,495.4,468.46,8,11,8765.88
2025-10-23,8,1015.92,1004.58,5,3,9770.46
2025-10-24,7,-81.18,-91.12,4,3,9679.34
2025-10-26,2,110.56,107.72,2,0,9787.06
2025-10-27,11,436.0,420.41,5,6,10207.47
2025-10-28,10,242.1,227.91,6,4,10435.38
2025-10-29,19,427.22,400.25,10,9,10835.63
2025-10-30,22,394.36,363.09,11,11,11198.72
2025-10-31,19,360.66,333.71,12,7,11532.43
2025-11-02,2,16.78,13.94,1,1,11546.37
2025-11-03,19,508.46,481.51,12,7,12027.88
2025-11-04,14,1238.86,1218.98,7,7,13246.86
2025-11-05,13,952.78,934.31,10,3,14181.17
2025-11-06,22,1346.74,1315.45,11,11,15496.62
2025-11-07,10,2263.88,2249.71,6,4,17746.33
2025-11-10,13,-117.34,-135.8,5,8,17610.53
2025-11-11,9,355.64,342.88,4,5,17953.41
2025-11-12,19,687.12,660.08,11,8,18613.49
2025-11-13,32,565.82,520.33,17,15,19133.82
2025-11-14,18,564.94,539.36,7,11,19673.18
2025-11-16,1,192.5,191.09,1,0,19864.27
2025-11-17,19,432.92,405.97,10,9,20270.24
2025-11-18,20,609.48,581.1,9,11,20851.34
2025-11-19,21,1105.24,1075.44,11,10,21926.78
2025-11-20,20,1578.72,1550.34,10,10,23477.12
2025-11-21,22,101.26,70.01,10,12,23547.13
2025-11-24,22,1523.76,1492.49,13,9,25039.62
2025-11-25,12,903.08,886.05,9,3,25925.67
2025-11-26,27,244.16,205.81,14,13,26131.48
2025-11-27,9,86.3,73.52,4,5,26205.0
2025-11-28,13,270.9,252.43,6,7,26457.43
2025-12-01,18,480.1,454.55,9,9,26911.98
2025-12-02,17,271.8,247.66,9,8,27159.64
2025-12-03,22,-198.68,-229.89,10,12,26929.75
2025-12-04,30,17.9,-24.69,12,18,26905.06
2025-12-05,23,116.9,84.24,14,9,26989.3
2025-12-07,4,-0.66,-6.37,2,2,26982.93
2025-12-08,25,361.4,325.9,13,12,27308.83
2025-12-09,25,78.8,43.37,11,14,27352.2
2025-12-10,17,341.08,316.96,9,8,27669.16
2025-12-11,27,553.98,515.69,15,12,28184.85
2025-12-12,28,899.02,859.26,16,12,29044.11
2025-12-14,1,99.38,97.97,1,0,29142.08
2025-12-15,19,939.54,912.59,11,8,30054.67
2025-12-16,30,-364.96,-407.52,12,18,29647.15
2025-12-17,8,1126.42,1115.08,4,4,30762.23
2025-12-18,22,548.96,517.72,12,10,31279.95
2025-12-19,27,341.18,302.85,13,14,31582.8
2025-12-22,27,-19.0,-57.39,11,16,31525.41
2025-12-23,21,285.54,255.7,10,11,31781.11
2025-12-24,14,117.5,97.64,6,8,31878.75
2025-12-26,24,37.92,3.77,10,14,31882.52
2025-12-28,2,-8.08,-10.91,1,1,31871.61
2025-12-29,13,231.46,213.06,7,6,32084.67
2025-12-30,20,259.64,231.24,10,10,32315.91
2025-12-31,20,324.32,296.01,11,9,32611.92
2026-01-01,1,468.6,467.18,1,0,33079.1
2026-01-02,6,758.36,749.82,4,2,33828.92
2026-01-05,16,500.74,478.02,8,8,34306.94
2026-01-06,9,541.82,529.04,5,4,34835.98
2026-01-07,7,714.14,704.2,4,3,35540.18
2026-01-08,18,-145.2,-170.71,6,12,35369.47
2026-01-09,9,917.8,905.01,7,2,36274.48
2026-01-12,6,728.52,719.98,4,2,36994.46
2026-01-13,12,335.9,318.85,8,4,37313.31
2026-01-14,16,744.18,721.46,5,11,38034.77
2026-01-15,11,823.02,807.41,5,6,38842.18
