entry_time,exit_time,side,entry_price,exit_price,pnl_points,pnl_dollar,commission,fold
2025-09-16 06:30:00+00:00,2025-09-16 06:45:00+00:00,SHORT,24810.825166818275,24812.36692660672,-1.54,-4.5,1.42,1
2025-09-16 06:45:00+00:00,2025-09-16 10:45:00+00:00,LONG,24812.36692660672,24846.11343650869,33.75,66.07,1.42,1
2025-09-16 10:45:00+00:00,2025-09-16 18:45:00+00:00,SHORT,24846.11343650869,24773.796335291394,72.32,143.21,1.42,1
2025-09-16 18:45:00+00:00,2025-09-17 01:45:00+00:00,LONG,24773.796335291394,24780.04422558579,6.25,11.08,1.42,1
2025-09-17 01:45:00+00:00,2025-09-17 06:15:00+00:00,SHORT,24780.04422558579,24762.883997725694,17.16,32.9,1.42,1
2025-09-17 06:15:00+00:00,2025-09-17 06:45:00+00:00,LONG,24762.883997725694,24765.506821795403,2.62,3.83,1.42,1
2025-09-17 06:45:00+00:00,2025-09-17 07:30:00+00:00,SHORT,24765.506821795403,24768.139663647133,-2.63,-6.69,1.42,1
2025-09-17 07:30:00+00:00,2025-09-17 10:15:00+00:00,LONG,24768.139663647133,24773.513947665786,5.37,9.33,1.42,1
2025-09-17 10:15:00+00:00,2025-09-17 10:45:00+00:00,SHORT,24773.513947665786,24770.435579986268,3.08,4.74,1.42,1
2025-09-17 10:45:00+00:00,2025-09-17 11:15:00+00:00,LONG,24770.435579986268,24767.94009866439,-2.5,-6.41,1.42,1
2025-09-17 11:15:00+00:00,2025-09-17 15:45:00+00:00,SHORT,24767.94009866439,24672.211476278342,95.73,190.04,1.42,1
2025-09-17 15:45:00+00:00,2025-09-17 16:15:00+00:00,LONG,24672.211476278342,24667.239935447127,-4.97,-11.36,1.42,1
2025-09-17 16:15:00+00:00,2025-09-17 17:00:00+00:00,SHORT,24667.239935447127,24669.34616058804,-2.11,-5.63,1.42,1
2025-09-17 17:00:00+00:00,2025-09-17 19:00:00+00:00,LONG,24669.34616058804,24692.563571461793,23.22,45.01,1.42,1
2025-09-17 19:00:00+00:00,2025-09-17 19:15:00+00:00,SHORT,24692.563571461793,24725.41918415502,-32.86,-67.13,1.42,1
